jméno,rok vydání,režisér,hlavní herci
Batman začíná,2005,Christopher Nolan ,"[' Christian Bale', ' Michael Caine']"
V jako Vendeta,2005,James McTeigue ,"[' Hugo Weaving', ' Natalie Portman']"
Babam ve Oglum,2005,Cagan Irmak ,"[' Eser Sariyar', ' Çetin Tekindor']"
Věčný svit neposkvrněné mysli,2004,Michel Gondry ,"[' Jim Carrey', ' Kate Winslet']"
Pád Třetí říše,2004,Oliver Hirschbiegel ,"[' Bruno Ganz', ' Alexandra Maria Lara']"
Zámek v oblacích,2004,Hayao Miyazaki ,"[' Chieko Baishô', ' Takuya Kimura']"
Million Dollar Baby,2004,Clint Eastwood ,"[' Hilary Swank', ' Clint Eastwood']"
Hotel Rwanda,2004,Terry George ,"[' Don Cheadle', ' Sophie Okonedo']"
Před soumrakem,2004,Richard Linklater ,"[' Ethan Hawke', ' Julie Delpy']"
Pán prstenů: Návrat krále,2003,Peter Jackson ,"[' Elijah Wood', ' Viggo Mortensen']"
Old Boy,2003,Park Chan-Wook ,"[' Choi Min-sik', ' Yoo Ji-Tae']"
Pečeť vraha,2003,Bong Joon Ho ,"[' Kang-ho Song', ' Kim Sang-kyung']"
Hledá se Nemo,2003,Andrew Stanton ,"[' Albert Brooks', ' Ellen DeGeneres']"
Kill Bill,2003,Quentin Tarantino ,"[' Uma Thurman', ' David Carradine']"
Pán prstenů: Dvě věže,2002,Peter Jackson ,"[' Elijah Wood', ' Ian McKellen']"
Město bohů,2002,Fernando Meirelles ,"[' Alexandre Rodrigues', ' Leandro Firmino']"
Pianista,2002,Roman Polanski ,"[' Adrien Brody', ' Thomas Kretschmann']"
"Chyť mě, když to dokážeš",2002,Steven Spielberg ,"[' Leonardo DiCaprio', ' Tom Hanks']"
Pán prstenů: Společenstvo prstenu,2001,Peter Jackson ,"[' Elijah Wood', ' Ian McKellen']"
Cesta do fantazie,2001,Hayao Miyazaki ,"[' Daveigh Chase', ' Suzanne Pleshette']"
Amélie z Montmartru,2001,Jean-Pierre Jeunet ,"[' Audrey Tautou', ' Mathieu Kassovitz']"
Čistá duše,2001,Ron Howard ,"[' Russell Crowe', ' Ed Harris']"
Příšerky s.r.o.,2001,Pete Docter ,"[' Billy Crystal', ' John Goodman']"
Gladiátor,2000,Ridley Scott ,"[' Russell Crowe', ' Joaquin Phoenix']"
Memento,2000,Christopher Nolan ,"[' Guy Pearce', ' Carrie-Anne Moss']"
Requiem za sen,2000,Darren Aronofsky ,"[' Ellen Burstyn', ' Jared Leto']"
Podfu(c)k,2000,Guy Ritchie ,"[' Jason Statham', ' Brad Pitt']"
Stvořeni pro lásku,2000,Kar-Wai Wong ,"[' Tony Chiu-Wai Leung', ' Maggie Cheung']"
Amores perros - Láska je kurva,2000,Alejandro G. Iñárritu ,"[' Emilio Echevarría', ' Gael García Bernal']"
Klub rváčů,1999,David Fincher ,"[' Brad Pitt', ' Edward Norton']"
Matrix,1999,Lana Wachowski ,"[' Keanu Reeves', ' Laurence Fishburne']"
Zelená míle,1999,Frank Darabont ,"[' Tom Hanks', ' Michael Clarke Duncan']"
Americká krása,1999,Sam Mendes ,"[' Kevin Spacey', ' Annette Bening']"
Šestý smysl,1999,M. Night Shyamalan ,"[' Bruce Willis', ' Haley Joel Osment']"
Zachraňte vojína Ryana,1998,Steven Spielberg ,"[' Tom Hanks', ' Matt Damon']"
Kult hákového kříže,1998,Tony Kaye ,"[' Edward Norton', ' Edward Furlong']"
Sbal prachy a vypadni,1998,Guy Ritchie ,"[' Jason Flemyng', ' Dexter Fletcher']"
Truman Show,1998,Peter Weir ,"[' Jim Carrey', ' Ed Harris']"
Big Lebowski,1998,Joel Coen ,"[' Jeff Bridges', ' John Goodman']"
Život je krásný,1997,Roberto Benigni ,"[' Roberto Benigni', ' Nicoletta Braschi']"
Princezna Mononoke,1997,Hayao Miyazaki ,"[' Yôji Matsuda', ' Yuriko Ishida']"
Dobrý Will Hunting,1997,Gus Van Sant ,"[' Robin Williams', ' Matt Damon']"
L. A.: Přísně tajné,1997,Curtis Hanson ,"[' Kevin Spacey', ' Russell Crowe']"
Božské děti,1997,Majid Majidi ,"[' Mohammad Amir Naji', ' Amir Farrokh Hashemian']"
