date,location,state,airline,aircraft_brand,no_deaths,no_survivors,no_ground_casualties
31-12-1935,Off Alexandria, Egypt,Imperial Airways,Short,12,1,0
14-01-1936, Tres Esquinas, Colombia,Military - Fuerza Aerea Colombiana,Junkers,13,3,0
14-01-1936,Goodwin, Arkansas,American Airlines,Douglas,17,0,0
17-01-1936,Near Cordillera, Boliva,Lloyd Aereo Boliviano,Junkers,13,0,0
21-01-1936,neznama,neznama,Air France,CAMS,6,0,0
29-01-1936,Denton, Texas,American Airlines,Vultee,1,5,0
10-02-1936,neznama,neznama,Air France,Latecoere,6,0,0
15-02-1936,neznama,neznama,Deutsche Lufthansa,Dormier,4,0,0
05-03-1936,Near Tengya, China,China National Aviation Corporation,Ford,0,6,0
14-03-1936,Ovalle, Chile,Lan Chile,Fairchild,5,0,0
26-03-1936,Amemeca, Mexico,Mexicana,Ford,14,0,0
01-04-1936,Pavillon, New York,American Airlines,Stinson,2,0,0
07-04-1936,Uniontown, Pennsylvania,Trans Continental and Western Air,Douglas,12,2,0
11-04-1936,Port of Spain, Trinidad,Pan American Airways,Sikorsky,3,22,0
15-04-1936,Near Turin, Italy,Avio Linee Italiane,OFM,7,0,0
